car,move
X,-2
C,-1
X,1
D,-1
X,1
G,-1
X,-2
F,1
X,1
E,1
X,1
J,-2
A,-2
X,-1
J,1
X,-1
J,1
B,-2
X,2
J,-1
H,-1
X,-2
G,-1
X,3
J,-1
X,-2
J,2
X,1
F,1
X,-2
K,-2
X,1
L,-3
K,2
X,-1
K,-1
X,3
L,3
J,-2
X,-2
L,-4
X,1
L,3
J,2
X,-1
L,-1
J,-1
X,-1
L,-2
X,3
K,1
X,-2
K,-2
L,3
X,-1
L,-2
I,-3
X,1
L,3
K,2
X,-1
K,-1
X,3
L,-4
X,-2
L,3
X,1
L,-2
K,1
X,1
J,-1
X,-2
L,-1
X,1
K,-1
L,4
X,-1
L,-2
X,2
L,1
J,2
X,-3
L,-2
X,1
G,1
X,1
L,3
X,-2
L,-2
K,-1
X,1
L,2
K,2
J,-2
X,1
J,1
F,-1
X,-2
J,1
H,2
X,2
J,-2
X,-1
J,1
H,-1
J,1
G,-1
X,-1
J,-1
X,3
J,-1
X,-1
I,-1
X,-1
H,-1
X,2
F,1
X,-1
E,1
X,-1
I,1
X,2
J,2
X,-3
G,1
X,2
E,-2
G,-1
X,-1
K,-2
X,-1
L,-3
K,2
X,3
K,-1
X,-1
L,2
X,-1
L,-1
G,1
X,1
B,1
X,-2
L,-1
X,1
L,3
K,-1
X,-1
L,-1
I,3
X,1
L,-2
K,2
X,-1
K,-1
X,2
L,3
X,-1
L,-2
E,1
X,-1
L,2
K,-1
X,1
K,2
X,1
J,-2
K,-1
X,-1
L,-4
K,-1
L,3
J,1
X,-1
L,-3
K,2
X,2
L,1
X,-1
K,-1
X,-1
B,-1
X,2
L,-1
X,-1
L,4
K,-1
X,-1
L,-2
I,-2
X,1
L,-2
J,-1
L,4
I,-2
L,-3
K,2
X,1
L,-1
K,-1
X,-1
L,3
I,1
X,1
L,-1
J,1
X,-1
L,2
B,1
X,-1
L,-4
X,2
L,3
J,1
X,-2
A,1
X,1
L,-2
X,1
L,3
K,1
X,-2
K,-2
X,1
L,-2
J,-2
L,-2
K,2
X,1
L,1
J,1
X,-2
L,-1
K,-2
L,3
X,1
L,-2
I,3
X,-1
L,3
K,2
X,2
K,-1
X,-1
L,-4
X,-1
L,3
J,1
X,2
L,-2
X,-1
K,1
X,-1
F,-1
X,2
J,-2
X,-1
L,-1
J,1
X,-1
H,1
X,2
L,1
X,-1
J,1
E,-1
X,-1
F,-1
X,2
H,-1
X,-1
G,1
X,-1
D,1
X,2
H,1
X,-1
C,1
X,-1
B,1
X,2
A,-1
X,-1
C,-1
X,-1
D,-1
X,2
G,-1
X,-1
F,1
X,-1
E,1
X,2
J,-2
X,-1
L,-1
J,1
X,-1
B,-2
X,2
L,1
X,-1
J,1
H,-1
X,-1
J,-1
G,-1
X,3
J,-1
X,-2
L,-1
X,1
H,1
L,1
J,2
X,-2
E,-1
X,3
H,-1
X,-2
F,-1
X,-1
G,2
X,2
G,-1
F,2
G,-1
K,-1
X,-1
L,3
X,-1
L,-2
K,-1
X,1
L,1
I,-2
X,-1
I,1
G,1
X,1
L,-2
I,-2
K,2
X,1
F,-2
X,-2
H,3
X,1
H,-2
G,-1
X,-1
H,1
X,3
H,1
X,-1
G,4
X,2
